day_of_week,hour,weather_severity,traffic_congestion,demand_Ambreiaj,demand_Placute_Frana,demand_Alternator,demand_Filtru_Ulei,demand_Amortizor
3,0,0.37,1.85,13,25,0,33,11
3,1,0.95,5.42,0,4,1,3,0
3,2,0.73,8.73,0,43,0,53,20
3,3,0.6,7.32,22,42,11,53,19
3,4,0.16,8.07,23,45,11,56,20
3,5,0.16,6.59,22,42,11,54,19
3,6,0.06,6.92,22,43,0,55,19
3,7,0.87,8.49,0,6,1,3,2
3,8,0.6,2.5,0,33,8,45,15
3,9,0.71,4.89,0,37,9,48,17
3,10,0.02,2.21,16,30,8,40,13
3,11,0.97,9.88,0,2,0,2,2
3,12,0.83,9.44,21,40,10,48,19
3,13,0.21,0.39,11,20,5,27,9
3,14,0.18,7.06,17,32,8,38,15
3,15,0.18,9.25,0,34,9,40,17
3,16,0.3,1.81,10,18,5,23,9
3,17,0.52,5.68,13,25,0,29,12
3,18,0.43,9.15,17,32,8,36,16
3,19,0.29,0.34,8,14,4,19,7
3,20,0.61,6.97,0,29,7,33,14
3,21,0.14,2.97,12,22,6,27,10
3,22,0.29,9.24,19,36,9,42,17
3,23,0.37,9.71,20,39,10,46,18
4,0,0.46,9.44,21,40,10,48,19
4,1,0.79,4.74,17,33,8,42,15
4,2,0.2,8.62,22,43,11,53,20
4,3,0.51,8.45,0,44,11,55,20
4,4,0.59,3.19,18,35,9,46,15
4,5,0.05,8.29,24,46,12,58,21
4,6,0.61,0.37,16,30,8,42,13
4,7,0.17,5.96,21,41,0,53,18
4,8,0.07,2.3,17,33,8,44,14
4,9,0.95,1.21,0,2,0,5,0
4,10,0.97,0.77,0,0,1,0,1
4,11,0.81,6.96,19,37,9,47,17
4,12,0.3,3.4,15,28,7,36,13
4,13,0.1,7.25,18,34,9,41,16
4,14,0.68,0.65,0,19,5,25,9
4,15,0.44,3.15,12,22,6,27,11
4,16,0.12,5.39,13,25,6,30,12
4,17,0.5,7.91,0,30,8,34,15
4,18,0.03,3.19,11,20,5,24,10
4,19,0.91,6.26,0,4,0,2,0
4,20,0.26,8.86,17,32,8,37,16
4,21,0.66,6.16,15,28,7,33,14
4,22,0.31,2.33,0,22,6,28,10
4,23,0.52,0.24,11,20,0,27,9
5,0,0.55,8.7,5,11,0,7,3
5,1,0.18,0.21,2,5,0,5,1
5,2,0.97,8.75,0,1,0,1,0
5,3,0.78,5.29,4,8,0,5,5
5,4,0.94,9.39,0,0,0,0,0
5,5,0.89,7.99,0,1,0,0,0
5,6,0.6,9.98,4,8,1,12,2
5,7,0.92,3.51,0,0,0,0,0
5,8,0.09,7.67,6,8,1,6,4
5,9,0.2,4.02,2,8,0,7,3
5,10,0.05,4.8,5,8,1,13,2
5,11,0.33,6.28,0,8,2,13,4
